id,showHide,archived,sortOrder,title,description,tools,image,pdfs,images,domain,Local,Live,notes
22,show,0,22,Robinson Helicopter Configurator,"Created a helicopter Configurator to assist their Sales Agents in choosing the right color, instruments and items for their helicopter.","Laravel, React/Redux/Context, Styled-Components, Less, Custom Theme, HTML, CSS, MYSQL, Responsive and Mobile First, CMS to manage helicopters and dependencies",rhc.jpg,,,robinsonheli-configurator.com/rhc/hID/R44-CDT,,X,
21,show,0,21,LA Modern Auctions,"Develop and maintain their Web application and Wordpress CMS. The apps I have developed here support online bidding for their quarterly Auctions. This involves adding new lots, changing to the various states of the auction (upcoming, current, post, and past). Interactive lot naviagtor with gallery to support multiple images and zoming needs. As well as lot specific states for costs, price realized, and selling now. Currently in the process of converting their Wordpress Front facing website into React, Redux, and Laravel Front End with backend API. Removing third party plugins to connect to authorize.net for purchasing catalogues and auction related transactions.","Converted web application to React/Redux/Context. Also employs front and back servers for security, Authorize.net shopping cart for Catlogue order form, Bidding Application,. Laravel, Laravel Corcel Wordpress, Styled-Components, Less, Custom Theme, HTML, CSS, MYSQL, Mongo, Redis Caching, Responsive and Mobile First, Custom Wordpress CMS Plugin",lamodern.jpg,,,lamodern.com,,X,
18,show,1,18,CTM Loyalty Applications,"<p>
    Formerly Montrose Travel, Corporate Travel Management (CTM) handles all sorts of travel needs. I  helped to develop and maintain their Loyalty appliedctions which serve Banks and Credit Unions, letting their customers use their points to book a Flight, Hotel, Car, Cruises, and Travel Packages. 
</p>

<p>

    CTM has given me the opportunity to work in large teams (Agile) with many developers, quality assurance (QA), Scrum Masters, Product Managers, Business Analysts, Dev Managers, etc. Working on this team has expanded my ability to not only work with others, but to share code. 
</p>

<p>
    When developing solo projects you can do what you want, and, perhaps cut some corners just to meet a deadline.  When working in a team with Code Reviews, QA, and UAT, you learn a lot about building more scalable, maintainable code. 
</p>

<p>
    While at CTM I also:
</p>

<ul>
    <li>Assisted in Dockerizing containers for our local developers</li>
    <li>
        Lead the effort for interviewing and onboarding 30 plus developers (working with recruiters, scheduling, screening, developing and grading exams, conducting interviews, and onboarding)
    </li>
    <li>Started an in-house NPM Package library to share features across our 2 primary apps, reducing duplication of work.</li>
    <li>Helped document many of opur processes, and widgets. The example Decision Tree demonstrates working with Business/Product to define clearly handling price change logic for flights. This diagram was used by Developers, QA, and Business to ensure we were all on the same page as to expected logic. I then implemented the price change logic along with testing solutions so we could all simulate a price change and test the results. </li>
    <li>Normalized all of our Buttons to take advantage of single source of logic (adhering to ADA 2.1 requirements). This also includes a focus effort to ensure all buttons were clearing, visibly accessible in all views.</li>
    
</ul>","React/Redux/Context, Laravel, Docker for Local Development, Styled-Components, Less, Accessibility and Training, Custom Theme, HTML, CSS, MYSQL, Decision Trees, Responsive and Mobile First, Shared Libraries, Legacy Zend, Draw.io Diagramming, NPM Library, generating graphic assets (jpgs, pngs, svg).",ctm.jpg,,,ctm.com,,,
17,show,0,17,Enspyred LMS,"This application has been through many iterations throughout my life as a web developer. I have used to to teach my Web Development courses, and as a way to play with tools I may not otherwise get to work with. It is a full blown Learning Management System with Admin backend  that supports registering for courses, assignment submissions, grading and grade reports, structured content for syllabus, session outline, and resource sharing.","LMS, Custom Design, Responsive, Mobile First, Laravel 5, HTML, CSS, SASS, JS, JQUERY, Bootstrap, and MYSQL, ",enspyred.jpg,,,enspyred.com,,X,
16,show,0,16,Christina Gohman,"My wife's portfolio Website. She designs, I develop. I may have a bias as well, but she is an amazing designer. Her attention to details, spatial relatonships, color and typography is not common knowledge. We have also worked on several web sites where she created the designs/mocks/assets and I translated her vision into html, css, and javascript.","Personal Portfolio: React/Redux/Context, Styled Components",christinagohman.jpg,,,christinagohman.com,,,
15,show,0,15,Diggity Doggy Daycare,"Who doesn't like dogs? And Diggity Doggy Daycare, is the best daycare I know. If only I lived closer, my dogs would be there. Tommy Gabl the owner is a longtime friend, so we have been able to develop this website in a remote fashion.","Wordpress, Custom Theme, Responsive and Mobile First, HTML, CSS, SASS, JS, JQUERY, PHP &amp; MYSQL.",diggitydoggy.jpg,,,diggitydoggy.com,,X,
14,show,0,14,Perennial Strength,"My wife Christin Designed and I developed this Wordpress web application. Custom theme, tailored to client needs.","Fitness Company: Wordpress, Custom Theme, Responsive and Mobile First,  HTML, CSS, SASS, JS, JQUERY, PHP &amp; MYSQL.",perennialstrength.jpg,,,perennialstrength.com,,X,
13,show,1,13,LA Home and Style,Worked with a Designer to build this Wordpress website that provides Home Listings in LA and Promotes the business.,"Wordpress, Custom Theme, Responsive and Mobile First, HTML, CSS, SASS, JS, JQUERY, PHP &amp; MYSQL.",lahomeandstyle.jpg,,,lahomeandstyle.com,X,,Need to update slideshow on home page? Not showing images.
12,show,1,12,Team CrossFit Academy,"Team CrossFit Academy and I go way back, as I not only Developed and maintained thier website, I also trained with them. Truly an amazing service, and the owner gave me a lot of creative freedom with the website to help promote their business and inform their clientelle.","Fitness Company: Wordpress, Custom Theme, Responsive and Mobile First, HTML, CSS, SASS, JS, JQUERY, PHP &amp; MYSQL.",teamcrossfitacademy.jpg,,,teamcrossfitacademy.com,X,,
11,show,0,11,Sexy Organic Strong,"Designed and developed this website, including the illustrations/graphics, color scheme translated into a Wordpress application to promote the owner, her business, and products.","Wordpress, Custom Theme, Responsive and Mobile First, HTML, CSS, SASS, JS, JQUERY, PHP &amp; MYSQL.",sexyorganicstrong.jpg,,,sexyorganicstrong.com,,X,
10,hide,0,10,Landmark CRM,"Developed a Customer Relationship Manager for Landmark to assist in keeping track of lead gernation, and reduce overcalling potential customers.","Wordpress, Custom Theme, Responsive and Mobile First, HTML, CSS, SASS, JS, JQUERY, PHP &amp; MYSQL.",landmark-crm.jpg,,,landmark-crm.com,NA,,"Not working, upgraded to Laravel v7. think I am missing databade table for leads? Seemed closer"
9,show,0,9,JMS Fox Designs,Worked wioth designer to create this non-traditional layout. A lot of fun challenges in this project.,"Wordpress, Custom Theme, HTML, CSS, SASS, JS, JQUERY, PHP &amp; MYSQL.",jmsfoxdesign.jpg,,,jmsfoxdesign.com,,X,
8,show,0,8,Our Wedding,"<p>My wife, (<a href='https://christinagohman.com' target='xtina'>Christina Gohman</a>) desaigned and I developed this Wordpress Custom theme for our Wedding. </>

<p>It was used to keep all of our guests informed, and boy did that make all the difference in the world. Still one of my favorite designs, is that cause it was my wedding? Nah.</p> ","Wordpress, Custom Theme, HTML, CSS, SASS, JS, JQUERY, PHP &amp; MYSQL.",wedding.mitchellgohman.jpg,,,wedding.mitchellgohman.com,,X,
5,show,1,5,Alexander's Detail,Designed and developed this custom Wordpress theme.,"Wordpress, Custom Theme, Responsive and Mobile First, HTML, CSS, SASS, JS, JQUERY, PHP &amp; MYSQL.",alexandersdetail.jpg,,,alexandersdetail.com,X,,
7,hide,1,7,Milon Law,Designed and developed this custom Wordpress theme.,"Wordpress, Custom Theme, HTML, CSS, SASS, JS, JQUERY, PHP &amp; MYSQL.",milonlaw.jpg,,,milonlaw.com,NA,,"DB is corrupt, need to rebuild or somehow get past database import duplicate keys issue."
6,show,0,6,The Real Mansa,Designed and developed this custom Wordpress theme.,"Wordpress, Custom Theme, HTML, CSS, SASS, JS, JQUERY, PHP &amp; MYSQL.",therealmansa.jpg,,,therealmansa.com,,X,
4,show,1,4,CrossFit Survival,Designed and developed this custom Wordpress theme.,"Wordpress, Custom Theme, HTML, CSS, SASS, JS, JQUERY, PHP &amp; MYSQL.",crossfitsurvival.jpg,,,crossfitsurvival.com,X,,
3,show,1,3,Sean Dollins Portfolio,"A static personal portfolio for Sean Dollins. Sean designed it, and I translated it to web.","Personal Portfolio: Custom Website, HTML, CSS, JavaScript and JQuery, PHP & MYSQL",seandollins.jpg,,,seandollins.com,X,,
2,hide,1,2,Hyper Coffee,"Custom web applicaton using out of the box php, mysql, javascript, html and css.",Custom PHP and MySQL website for a coffee shop,hypercoffee.jpg,,,hypercoffee.com,,,
1,show,1,1,Another World Comics,"Custom web applicaton using out of the box php, mysql, javascript, html and css.",Custom PHP and MySQL website for a comic shop,anotherworldcomics.jpg,,,anotherworldcomics.com,X,,
